,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
51,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,-0.15213722327119997,57000000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up
53,American Muscle Car Race,AUTO_AND_VEHICLES,3.9,-0.15223016651784563,35000000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up
54,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,-0.1519825177380736,33000000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 31, 2018",4.0,4.1 and up
55,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,-0.1460239561773121,33000000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 18, 2018",1.7.1,4.0 and up
56,Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,-0.15182481403570064,5600000.0,50000.0,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",2.5.1,4.4 and up
57,Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,-0.15223016651784563,54000000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up
58,Restart Navigator,AUTO_AND_VEHICLES,4.0,-0.15146623299380316,201000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"August 26, 2014",1.0.1,2.2 and up
59,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,-0.14992637326873165,3600000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",2.493,4.4 and up
60,CityBus Lviv,AUTO_AND_VEHICLES,4.6,-0.15198731480886823,5700000.0,10000.0,Free,0.0,Everyone,Auto & Vehicles,"July 8, 2018",1.9.1,4.0.3 and up
61,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,-0.1476459657397414,17000000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
62,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,-0.12901414277345558,8600000.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,"July 28, 2018",2.20 Build 02,4.1 and up
63,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,-0.1508498093966951,2400000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up
64,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,-0.1486557491420079,27000000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
65,Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,-0.15213062729885737,2700000.0,10000.0,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",0.2.1,4.4 and up
66,Used Cars Mexico,AUTO_AND_VEHICLES,4.0,-0.1521935888530367,2500000.0,50000.0,Free,0.0,Everyone,Auto & Vehicles,"October 14, 2016",1.0,2.3 and up
69,Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,-0.12080875317926612,7000000.0,5000000.0,Free,0.0,Everyone,Auto & Vehicles,"July 16, 2018",4.47.3,4.0.3 and up
70,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,-0.08215875378705069,35000000.0,5000000.0,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",1.9.7,4.0.3 and up
71,SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,-0.151480624206187,16000000.0,500000.0,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",2.2.21,4.2 and up
72,"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,0.010744917024565072,16000000.0,10000000.0,Free,0.0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up
74,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,-0.14809749002828457,17000000.0,500000.0,Free,0.0,Everyone,Auto & Vehicles,"July 27, 2018",1.79,4.0 and up
75,Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,-0.15218939141609142,3400000.0,50000.0,Free,0.0,Everyone,Auto & Vehicles,"June 14, 2018",1.3,4.0 and up
76,"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,-0.15186558913745488,8900000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"June 8, 2018",2.3.5.1,4.1 and up
77,Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,-0.15016442790691442,3900000.0,1000000.0,Free,0.0,Everyone 10+,Auto & Vehicles,"July 4, 2018",1.6,4.0 and up
78,Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,-0.15171148323817785,2900000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up
79,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,-0.03409810076349871,38000000.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,"July 15, 2018",8.31,4.1 and up
80,Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,-0.15222237127780439,32000000.0,50000.0,Free,0.0,Everyone,Auto & Vehicles,"July 24, 2018",1.1.5.0,6.0 and up
81,PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,-0.1432122730578182,37000000.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,"July 27, 2018",10.0.2,4.2 and up
82,Supervision service,AUTO_AND_VEHICLES,4.0,-0.1510153083391093,15000000.0,500000.0,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",1.10.3,5.0 and up
83,Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,-0.15222476981320168,5400000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",1.0,4.0.3 and up
84,Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,-0.1490611016241529,18000000.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",3.20.1,4.4 and up
86,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,-0.15209884670484305,38000000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up
87,RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,-0.15215761082207707,1100000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"April 27, 2018",1.4,4.0.3 and up
90,SMS Park,AUTO_AND_VEHICLES,4.5,-0.15013864365139337,7900000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"May 16, 2018",2.8.2,4.1 and up
91,SKencar,AUTO_AND_VEHICLES,3.7,-0.14942567900454368,35000000.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,"July 31, 2018",4.0.3,4.0.3 and up
93,auto fines,AUTO_AND_VEHICLES,4.6,-0.133459228498516,17000000.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",1.40,4.0.3 and up
94,"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,-0.14925118555438954,19000000.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,"July 23, 2018",1.5.18,4.0.3 and up
95,All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,-0.1512557615126894,14000000.0,500000.0,Free,0.0,Everyone,Auto & Vehicles,"June 2, 2018",2.3.4,4.0 and up
96,Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,-0.1507005005682127,2200000.0,500000.0,Free,0.0,Everyone,Auto & Vehicles,"March 20, 2018",1.03,4.0.3 and up
97,Gas Station,AUTO_AND_VEHICLES,4.0,-0.15153519088647574,4500000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"April 21, 2018",2.17,4.0 and up
98,Hush - Beauty for Everyone,BEAUTY,4.7,-0.14097443953213018,17000000.0,500000.0,Free,0.0,Everyone,Beauty,"August 2, 2018",6.10.1,5.0 and up
99,"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,-0.12245174992642187,14000000.0,1000000.0,Free,0.0,Everyone,Beauty,"November 9, 2017",2.3.0,4.1 and up
100,Natural recipes for your beauty,BEAUTY,4.7,-0.15161794035768286,9800000.0,100000.0,Free,0.0,Everyone,Beauty,"May 15, 2018",4.0,4.1 and up
101,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,-0.1512647560204293,21000000.0,500000.0,Free,0.0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up
103,Beauty Selfie Camera,BEAUTY,4.2,-0.15097333396965643,52000000.0,500000.0,Free,0.0,Everyone,Beauty,"February 28, 2018",1.6,4.1 and up
104,Hairstyles step by step,BEAUTY,4.6,-0.14968771899669953,14000000.0,100000.0,Free,0.0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up
105,Filters for Selfie,BEAUTY,4.3,-0.14716745792797853,25000000.0,1000000.0,Free,0.0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up
106,Tie - Always be happy,BEAUTY,4.7,-0.15172947225365765,9000000.0,50000.0,Free,0.0,Everyone,Beauty,"June 21, 2018",4.0,4.2 and up
108,Prom MakeUp Tutorial,BEAUTY,4.8,-0.15224515736407881,12000000.0,10000.0,Free,0.0,Everyone,Beauty,"June 26, 2018",1.3,4.0.3 and up
110,Sweet Selfie Beauty Camera,BEAUTY,4.3,-0.15194713934096332,35000000.0,100000.0,Free,0.0,Everyone,Beauty,"June 2, 2018",2.0.0,4.0 and up
111,Colors of white in Urdu,BEAUTY,4.5,-0.15228593246583305,6700000.0,10000.0,Free,0.0,Everyone,Beauty,"July 26, 2018",6.0,4.0 and up
112,Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,-0.1521953877545847,30000000.0,50000.0,Free,0.0,Teen,Beauty,"July 24, 2018",3.0.1,4.0.3 and up
113,Wrinkles and rejuvenation,BEAUTY,4.3,-0.1521983859238313,5700000.0,100000.0,Free,0.0,Everyone 10+,Beauty,"September 20, 2017",8.0,3.0 and up
114,Eyes Makeup Beauty Tips,BEAUTY,4.2,-0.152289530268929,2900000.0,10000.0,Free,0.0,Everyone,Beauty,"April 9, 2018",3.3.9,4.0.3 and up
115,Photo Editor 2018,BEAUTY,4.5,-0.152227168348599,17000000.0,10000.0,Free,0.0,Everyone,Beauty,"March 1, 2018",1.20,4.0.3 and up
116,Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,-0.15226314637955862,2900000.0,10000.0,Free,0.0,Everyone,Beauty,"April 5, 2018",2.3.09,4.0.3 and up
119,Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,-0.14672192997792863,2600000.0,1000000.0,Free,0.0,Everyone,Beauty,"November 21, 2017",1.4.2,4.0 and up
120,Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,-0.1522625467457093,4200000.0,50000.0,Free,0.0,Everyone,Beauty,"October 18, 2017",1.0.0,4.0.3 and up
121,Haircut Tutorials/Haircut Videos,BEAUTY,4.6,-0.15228473319813438,7100000.0,10000.0,Free,0.0,Everyone,Beauty,"May 29, 2018",1.0,4.0 and up
122,"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,-0.13621694457157046,57000000.0,1000000.0,Free,0.0,Everyone,Beauty,"July 24, 2018",18.5,5.0 and up
123,Manicure - nail design,BEAUTY,4.3,-0.1522361628563389,3700000.0,50000.0,Free,0.0,Everyone,Beauty,"July 23, 2018",1.3,4.1 and up
124,"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,-0.15094215300949143,22000000.0,500000.0,Free,0.0,Everyone,Beauty,"July 12, 2018",1.1.0,4.0.3 and up
125,Filters for B Live,BEAUTY,4.4,-0.15094035410794346,24000000.0,500000.0,Free,0.0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up
126,Skin Care and Natural Beauty,BEAUTY,4.3,-0.151915358746949,7400000.0,100000.0,Free,0.0,Teen,Beauty,"July 17, 2018",1.15,4.1 and up
127,Facial Wrinkle Reduction,BEAUTY,4.6,-0.15219718665613266,21000000.0,10000.0,Free,0.0,Everyone,Beauty,"July 2, 2018",1.5,4.1 and up
128,Makeup Videos,BEAUTY,3.8,-0.15230212257976486,3400000.0,5000.0,Free,0.0,Everyone,Beauty,"June 7, 2018",1.0,4.0 and up
129,"Secrets of beauty, youth and health",BEAUTY,4.3,-0.15226134747801062,2900000.0,10000.0,Free,0.0,Mature 17+,Beauty,"August 8, 2017",2.0,2.3 and up
130,Recipes and tips for losing weight,BEAUTY,4.3,-0.15228653209968238,3100000.0,10000.0,Free,0.0,Everyone 10+,Beauty,"December 11, 2017",2.0,3.0 and up
131,Discover Color,BEAUTY,4.0,-0.1520892525632538,6400000.0,100000.0,Free,0.0,Everyone,Beauty,"May 24, 2018",1.1,4.0.3 and up
132,Eyeliner step by step 2018,BEAUTY,4.3,-0.15229672587512091,3200000.0,5000.0,Free,0.0,Everyone,Beauty,"June 1, 2018",1.2.13,4.0.3 and up
133,Dresses Ideas & Fashions +3000,BEAUTY,4.5,-0.15202389247367717,8199999.999999999,100000.0,Free,0.0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up
134,"Lady adviser (beauty, health)",BEAUTY,4.3,-0.152289530268929,9900000.0,10000.0,Free,0.0,Mature 17+,Beauty,"January 24, 2018",3.0,3.0 and up
135,Step By Step Hairstyles For Women,BEAUTY,4.1,-0.15226794345035324,2900000.0,10000.0,Free,0.0,Everyone,Beauty,"April 5, 2018",3.1.89,4.0.3 and up
136,Rainbow Camera,BEAUTY,3.7,-0.14998633665366434,23000000.0,1000000.0,Free,0.0,Everyone,Beauty,"July 30, 2018",2.2.0,4.0 and up
137,Methods of teeth whitening,BEAUTY,4.7,-0.1521534133851318,4600000.0,50000.0,Free,0.0,Everyone,Beauty,"August 7, 2017",1.0,4.0.3 and up
138,Girls hairstyles 2018,BEAUTY,4.2,-0.15227034198575054,3100000.0,10000.0,Free,0.0,Everyone,Beauty,"May 28, 2018",1.9.2,4.0.3 and up
140,E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,-0.15119399922620874,4900000.0,50000.0,Free,0.0,Everyone,Books & Reference,"August 3, 2018",1.3.2,4.4 and up
141,Download free book with green book,BOOKS_AND_REFERENCE,4.6,-0.1496223589071229,9500000.0,100000.0,Free,0.0,Everyone 10+,Books & Reference,"July 31, 2017",1.1,4.0 and up
147,Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,-0.15205687233539017,4200000.0,100000.0,Free,0.0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up
148,Book store,BOOKS_AND_REFERENCE,4.4,-0.13882415254844388,5400000.0,1000000.0,Free,0.0,Teen,Books & Reference,"June 6, 2018",3.2.1,4.0 and up
150,English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,-0.1514470447106247,2800000.0,500000.0,Free,0.0,Everyone,Books & Reference,"January 21, 2018",1.0,4.0 and up
151,Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,-0.08244597840087828,5000000.0,1000000.0,Free,0.0,Teen,Books & Reference,"August 1, 2018",2.0.075,4.0.3 and up
153,AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,-0.09805984420350174,5900000.0,5000000.0,Free,0.0,Everyone,Books & Reference,"May 27, 2018",1.911805270,2.3 and up
154,Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,-0.15179183417398767,13000000.0,100000.0,Free,0.0,Everyone,Books & Reference,"July 17, 2018",1.0,4.0.3 and up
155,Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,0.06591962603653154,7100000.0,10000000.0,Free,0.0,Everyone,Books & Reference,"July 11, 2018",9.1.363,4.1 and up
156,Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,-0.15172767335210968,6700000.0,500000.0,Free,0.0,Everyone,Books & Reference,"August 4, 2018",1.1.6,4.0.3 and up
158,FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,-0.14181032911809188,17000000.0,1000000.0,Free,0.0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up
159,Cloud of Books,BOOKS_AND_REFERENCE,3.3,-0.1511910010569621,19000000.0,1000000.0,Free,0.0,Everyone,Books & Reference,"April 27, 2018",2.2.5,4.1 and up
160,Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,-0.15105788234241152,6700000.0,500000.0,Free,0.0,Everyone,Books & Reference,"May 17, 2018",15.0,2.3 and up
161,ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,-0.1239430393096979,21000000.0,1000000.0,Free,0.0,Everyone,Books & Reference,"June 2, 2018",18.05.31+530,4.1 and up
163,Anonymous caller detection,BOOKS_AND_REFERENCE,4.5,-0.15221097823466717,2700000.0,10000.0,Free,0.0,Everyone,Books & Reference,"July 13, 2018",1.0,2.3 and up
164,Ebook Reader,BOOKS_AND_REFERENCE,4.1,-0.10083375039048803,37000000.0,5000000.0,Free,0.0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up
165,Litnet - E-books,BOOKS_AND_REFERENCE,4.6,-0.14761178661032975,15000000.0,100000.0,Free,0.0,Teen,Books & Reference,"July 4, 2018",1.2.3,4.0 and up
166,Read books online,BOOKS_AND_REFERENCE,4.1,-0.09737206417832378,23000000.0,5000000.0,Free,0.0,Mature 17+,Books & Reference,"June 29, 2018",3.12,4.1 and up
167,English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,-0.14953721090051847,19000000.0,500000.0,Free,0.0,Everyone,Books & Reference,"November 23, 2017",2.0,4.0.3 and up
168,eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,-0.13951373147516982,23000000.0,1000000.0,Free,0.0,Everyone,Books & Reference,"June 20, 2018",1.28,3.0 and up
169,English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,-0.13619235958374806,73000000.0,500000.0,Free,0.0,Everyone,Books & Reference,"August 1, 2018",6.0.8,4.0.3 and up
170,Flybook,BOOKS_AND_REFERENCE,3.9,-0.15124137030030554,4900000.0,500000.0,Free,0.0,Mature 17+,Books & Reference,"October 16, 2014",1.0.3,2.1 and up
